Price,Open,High,Low,Close,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
2021-01-08,5711.580078125,5721.89013671875,5676.14990234375,5706.8798828125,87558400
2021-01-11,5684.66015625,5704.08984375,5629.4599609375,5662.43017578125,76382800
2021-01-12,5672.2001953125,5679.06005859375,5636.75,5650.97021484375,73935200
2021-01-13,5648.9599609375,5679.06982421875,5643.75,5662.669921875,109764000
2021-01-14,5662.169921875,5690.490234375,5656.75,5681.14013671875,104615600
2021-01-15,5648.7001953125,5656.4501953125,5563.740234375,5611.68994140625,127619000
2021-01-18,5584.85009765625,5618.419921875,5584.58984375,5617.27001953125,62122300
2021-01-19,5647.75,5655.22021484375,5592.2001953125,5598.60986328125,89498100
2021-01-20,5615.41015625,5646.06005859375,5602.490234375,5628.43994140625,78552400
2021-01-21,5660.27001953125,5665.97998046875,5589.7998046875,5590.7900390625,87605000
2021-01-22,5568.8798828125,5573.7099609375,5511.43994140625,5559.56982421875,89454700
2021-01-25,5579.72998046875,5584.39990234375,5453.240234375,5472.35986328125,103153900
2021-01-26,5473.25,5555.27978515625,5471.08984375,5523.52001953125,84017800
2021-01-27,5517.52978515625,5545.4501953125,5401.43017578125,5459.6201171875,123358200
2021-01-28,5407.740234375,5525.9501953125,5379.22021484375,5510.52001953125,113180800
2021-01-29,5421.52978515625,5474.7998046875,5399.2099609375,5399.2099609375,109393800
2021-02-01,5441.43017578125,5481.669921875,5429.77978515625,5461.68017578125,75051100
2021-02-02,5510.6201171875,5574.77001953125,5509.240234375,5563.10986328125,92321700
2021-02-03,5610.58984375,5626.41015625,5554.08984375,5563.0498046875,81321400
2021-02-04,5568.39013671875,5613.9501953125,5566.580078125,5608.5400390625,84653400
2021-02-05,5638.740234375,5673.02978515625,5627.83984375,5659.259765625,90026000
2021-02-08,5688.68017578125,5714.27978515625,5673.6298828125,5686.02978515625,75598300
2021-02-09,5703.52978515625,5703.52978515625,5674.43017578125,5691.5400390625,74734600
2021-02-10,5719.31982421875,5719.31982421875,5647.27978515625,5670.7998046875,80605800
2021-02-11,5684.93994140625,5692.0,5656.7998046875,5669.81982421875,85822100
2021-02-12,5651.669921875,5705.02001953125,5627.990234375,5703.669921875,74872400
2021-02-15,5732.2998046875,5801.3798828125,5722.16015625,5786.25,95598000
2021-02-16,5796.43017578125,5797.919921875,5768.9599609375,5786.52978515625,69738200
2021-02-17,5762.009765625,5790.27001953125,5752.85009765625,5765.83984375,89772300
2021-02-18,5757.75,5779.009765625,5720.580078125,5728.330078125,95205800
2021-02-19,5737.18994140625,5784.89990234375,5733.83984375,5773.5498046875,95515600
2021-02-22,5737.47021484375,5776.64013671875,5703.47998046875,5767.43994140625,83870900
2021-02-23,5781.240234375,5804.89990234375,5721.919921875,5779.83984375,0
2021-02-24,5769.2099609375,5804.14013671875,5758.2998046875,5797.97998046875,83298700
2021-02-25,5824.72021484375,5834.35986328125,5783.89013671875,5783.89013671875,99039600
2021-02-26,5715.68994140625,5768.02978515625,5688.259765625,5703.22021484375,126426700
2021-03-01,5770.89013671875,5804.35009765625,5765.7998046875,5792.7900390625,83783600
2021-03-02,5774.6201171875,5835.740234375,5773.52001953125,5809.72998046875,78464500
2021-03-03,5841.2001953125,5871.43017578125,5788.66015625,5830.06005859375,91437400
2021-03-04,5800.72998046875,5844.68994140625,5797.669921875,5830.64990234375,96687500
2021-03-05,5794.47998046875,5837.5498046875,5755.60009765625,5782.64990234375,99553700
2021-03-08,5822.919921875,5912.5,5799.0498046875,5902.990234375,0
2021-03-09,5903.259765625,5937.81005859375,5895.330078125,5924.97021484375,98009300
2021-03-10,5915.169921875,5993.6298828125,5912.35009765625,5990.5498046875,84108900
2021-03-11,6004.16015625,6033.759765625,5995.41015625,6033.759765625,85660900
2021-03-12,6030.6298828125,6046.5498046875,6017.41015625,6046.5498046875,72235700
2021-03-15,6069.08984375,6089.2001953125,6018.5498046875,6035.97021484375,78751000
2021-03-16,6050.39990234375,6061.18994140625,6034.759765625,6055.43017578125,846600
2021-03-17,6048.31005859375,6062.35986328125,6037.25,6054.81982421875,806600
2021-03-18,6076.2099609375,6082.919921875,6044.31982421875,6062.7900390625,91171900
2021-03-19,6021.1298828125,6047.64990234375,5983.60986328125,5997.9599609375,212881400
2021-03-22,5960.85009765625,5987.22998046875,5943.7099609375,5968.47998046875,76067200
2021-03-23,5943.31005859375,5968.56005859375,5921.830078125,5945.2998046875,75656900
2021-03-24,5901.64013671875,5948.669921875,5890.5498046875,5947.2900390625,80552800
2021-03-25,5911.0400390625,5952.41015625,5886.0,5952.41015625,73423600
2021-03-26,5979.22998046875,6002.9501953125,5962.4599609375,5988.81005859375,80680200
2021-03-29,5995.0,6029.58984375,5985.35986328125,6015.509765625,67745900
2021-03-30,6044.5400390625,6095.080078125,6041.39013671875,6088.0400390625,76904000
2021-03-31,6085.02001953125,6097.740234375,6060.240234375,6067.22998046875,85387300
2021-04-01,6079.669921875,6106.1201171875,6063.85986328125,6102.9599609375,75221700
2021-04-06,6155.22021484375,6159.10009765625,6125.740234375,6131.33984375,73632700
2021-04-07,6137.6298828125,6154.3798828125,6118.91015625,6130.66015625,0
2021-04-08,6153.35986328125,6171.4501953125,6146.22021484375,6165.72021484375,66071200
2021-04-09,6171.60009765625,6188.47998046875,6161.419921875,6169.41015625,65261400
2021-04-12,6167.31982421875,6183.02001953125,6151.52001953125,6161.68017578125,0
2021-04-13,6171.8798828125,6193.240234375,6156.490234375,6184.10009765625,74722300
2021-04-14,6214.490234375,6217.740234375,6194.5498046875,6208.580078125,0
2021-04-15,6219.0400390625,6244.22998046875,6209.58984375,6234.14013671875,66204600
2021-04-16,6229.64990234375,6299.56005859375,6229.2998046875,6287.06982421875,86378000
2021-04-19,6294.740234375,6319.080078125,6293.169921875,6296.68994140625,58527600
2021-04-20,6281.10009765625,6285.2900390625,6154.02978515625,6165.10986328125,0
2021-04-21,6180.68994140625,6227.0400390625,6178.66015625,6210.5498046875,77394900
2021-04-22,6230.2099609375,6274.18994140625,6225.58984375,6267.27978515625,67091000
2021-04-23,6259.6298828125,6280.81005859375,6227.18994140625,6257.93994140625,61769900
2021-04-26,6256.0400390625,6288.7900390625,6240.990234375,6275.52001953125,64366500
2021-04-27,6273.35986328125,6282.52001953125,6255.41015625,6273.759765625,66019200
2021-04-28,6293.2099609375,6320.10986328125,6283.6201171875,6306.97998046875,69450200
2021-04-29,6341.1201171875,6352.35986328125,6287.43994140625,6302.56982421875,78833300
2021-04-30,6316.31982421875,6320.14013671875,6268.85986328125,6269.47998046875,80057800
2021-05-03,6285.509765625,6314.919921875,6252.66015625,6307.89990234375,49980000
2021-05-04,6319.490234375,6355.8701171875,6238.7900390625,6251.75,85369200
2021-05-05,6284.5400390625,6339.47021484375,6275.14013671875,6339.47021484375,83862000
2021-05-06,6348.89990234375,6377.580078125,6321.72021484375,6357.08984375,86375500
2021-05-07,6388.919921875,6390.0400390625,6342.3701171875,6385.509765625,78606600
2021-05-10,6395.3798828125,6395.60009765625,6367.0400390625,6385.990234375,76551300
2021-05-11,6314.27001953125,6324.31005859375,6226.10986328125,6267.39013671875,100699500
2021-05-12,6259.6298828125,6299.240234375,6233.9599609375,6279.35009765625,80897700
2021-05-13,6219.72998046875,6303.7001953125,6150.43017578125,6288.330078125,64872900
